date;user;date_scraped;company_name;series;raised_funds;investors;date
08/05/2019 19:57;techcrunch;2019-05-08T19:05:57;Uber;ipo;;{'TechCrunch', 'Uber', 'Mostafa Maklad'};08/05/2019 19:57
08/05/2019 19:07;techcrunch;2019-05-08T19:05:57;Uber;ipo;;{'TechCrunch', 'Uber', 'Mostafa Maklad'};08/05/2019 19:07
08/05/2019 18:49;techcrunch;2019-05-08T18:48:00;CTA;;;;08/05/2019 18:49
08/05/2019 18:17;techcrunch;2019-05-08T18:16:13;Google;public;;{'Sumo Logic', 'Ramin Sayar'};08/05/2019 18:17
08/05/2019 17:22;techcrunch;2019-05-08T17:21:08;Facebook;;;;08/05/2019 17:22
08/05/2019 17:04;techcrunch;;;;;;08/05/2019 17:04
08/05/2019 17:01;techcrunch;2019-05-08T17:00:06;UATAG;;;;08/05/2019 17:01
08/05/2019 17:00;techcrunch;2019-05-08T16:00:58;Matt Hartman;;;;08/05/2019 17:00
08/05/2019 16:57;techcrunch;;;;;;08/05/2019 16:57
08/05/2019 16:15;techcrunch;;;;;;08/05/2019 16:15
08/05/2019 16:01;techcrunch;2019-05-08T16:00:09;Waymo;;;;08/05/2019 16:01
08/05/2019 15:15;techcrunch;2019-05-08T15:13:38;Pandora;;;;08/05/2019 15:15
08/05/2019 15:02;techcrunch;2019-05-08T15:00:42;RTR;;;;08/05/2019 15:02
08/05/2019 14:44;techcrunch;;Extra Crunch;public;;;08/05/2019 14:44
08/05/2019 14:34;techcrunch;2019-05-08T14:32:29;Amazon;;;;08/05/2019 14:34
08/05/2019 14:17;techcrunch;;;;;;08/05/2019 14:17
08/05/2019 14:11;techcrunch;;;;;;08/05/2019 14:11
08/05/2019 14:01;techcrunch;2019-05-08T14:00:10;Docker;public;;{'Cloudera', 'Singh'};08/05/2019 14:01
08/05/2019 13:24;techcrunch;2019-05-08T13:22:39;Tariffs;;;;08/05/2019 13:24
08/05/2019 13:09;techcrunch;;;;;;08/05/2019 13:09
08/05/2019 13:04;techcrunch;;;;;;08/05/2019 13:04
08/05/2019 13:02;techcrunch;2019-05-08T13:00:24;Bird;;;;08/05/2019 13:02
08/05/2019 13:00;techcrunch;;;;;;08/05/2019 13:00
08/05/2019 12:23;techcrunch;2019-05-08T12:22:35;Kargo;seed;;;08/05/2019 12:23
08/05/2019 12:01;techcrunch;2019-05-08T12:00:34;Iguazio;series d;;{'Jupyter', 'KubeFlow'};08/05/2019 12:01
08/05/2019 09:49;techcrunch;2019-05-08T09:48:16;PUBG;public;;{'Weibo', 'State Administration of Press and Publication'};08/05/2019 09:49
08/05/2019 08:01;techcrunch;2019-05-08T08:00:53;HeyJobs;series a;12000000.0 $;set();08/05/2019 08:01
08/05/2019 05:14;techcrunch;;;;;;08/05/2019 05:14
08/05/2019 03:47;techcrunch;2019-05-08T03:46:25;CollegeDekho;series b;8000000.0 $;set();08/05/2019 03:47
08/05/2019 01:13;techcrunch;;;;;;08/05/2019 01:13
08/05/2019 00:49;techcrunch;;;;;;08/05/2019 00:49
06/05/2019 17:01;techcrunch;;;;;;06/05/2019 17:01
06/05/2019 16:51;techcrunch;2019-05-06T16:50:36;Apple;public;;;06/05/2019 16:51
06/05/2019 16:44;techcrunch;;;;;;06/05/2019 16:44
06/05/2019 15:41;techcrunch;2019-05-06T15:39:42;ElectionGuard;public;;set();06/05/2019 15:41
06/05/2019 15:35;techcrunch;;;;;;06/05/2019 15:35
06/05/2019 15:35;techcrunch;;;;;;06/05/2019 15:35
06/05/2019 15:34;techcrunch;2019-05-06T15:30:54;Microsoft;;;;06/05/2019 15:34
06/05/2019 15:34;techcrunch;;;;;;06/05/2019 15:34
06/05/2019 15:33;techcrunch;;;;;;06/05/2019 15:33
06/05/2019 15:33;techcrunch;2019-05-06T15:30:22;Microsoft;public;;{'Azure Functions', 'Azure Kubernetes Service', 'Red Hat', 'OpenShift'};06/05/2019 15:33
06/05/2019 15:33;techcrunch;;;;;;06/05/2019 15:33
06/05/2019 15:32;techcrunch;2019-05-06T15:30:02;Microsoft;;;;06/05/2019 15:32
06/05/2019 15:32;techcrunch;;;;;;06/05/2019 15:32
06/05/2019 15:31;techcrunch;;;;;;06/05/2019 15:31
06/05/2019 15:31;techcrunch;2019-05-06T15:30:27;Microsoft;;;;06/05/2019 15:31
06/05/2019 15:31;techcrunch;2019-05-06T15:30:14;Microsoft;;;;06/05/2019 15:31
06/05/2019 15:30;techcrunch;;;;;;06/05/2019 15:30
06/05/2019 15:16;techcrunch;2019-05-06T14:30:18;Microsoft;;;;06/05/2019 15:16
06/05/2019 15:02;techcrunch;2019-05-06T15:00:30;Carta;series e;300000000.0 $;{'Andreessen Horowitz', 'TechCrunch', 'Marc Andreessen'};06/05/2019 15:02
06/05/2019 14:31;techcrunch;2019-05-06T14:30:18;Microsoft;;;;06/05/2019 14:31
06/05/2019 14:00;techcrunch;;;;;;06/05/2019 14:00
06/05/2019 13:01;techcrunch;2019-05-06T13:00:02;Dropbox;;;;06/05/2019 13:01
06/05/2019 12:44;techcrunch;;Extra Crunch;public;;;06/05/2019 12:44
06/05/2019 11:59;techcrunch;2019-05-06T11:57:07;BigBasket;series f;1000000000.0 $;{'CDC Group', 'TechCrunch', 'Alibaba', 'Vipul Parekh', 'Mirae Asset-Naver Asia Growth Fund'};06/05/2019 11:59
06/05/2019 11:01;techcrunch;;;;;;06/05/2019 11:01
06/05/2019 10:02;techcrunch;2019-05-06T10:00:28;NBCUniversal;;;;06/05/2019 10:02
06/05/2019 08:28;techcrunch;;;;;;06/05/2019 08:28
06/05/2019 08:01;techcrunch;2019-05-06T08:00:33;Startup Alley;series a;;set();06/05/2019 08:01
06/05/2019 07:34;techcrunch;2019-05-06T07:32:33;Apple;series o;;{'Android', 'Facebook', 'Google'};06/05/2019 07:34
06/05/2019 04:13;techcrunch;;;;;;06/05/2019 04:13
06/05/2019 02:05;techcrunch;;;;;;06/05/2019 02:05
06/05/2019 00:44;techcrunch;;Extra Crunch;public;;;06/05/2019 00:44
04/05/2019 16:47;techcrunch;;;;;;04/05/2019 16:47
04/05/2019 16:25;techcrunch;;;;;;04/05/2019 16:25
04/05/2019 16:02;techcrunch;2019-05-04T16:00:39;Apple;;;;04/05/2019 16:02
04/05/2019 14:08;techcrunch;;;;;;04/05/2019 14:08
04/05/2019 12:17;techcrunch;2019-05-04T12:16:46;Jones;;;;04/05/2019 12:17
04/05/2019 12:02;techcrunch;2019-05-04T12:00:48;TechCrunch;public;;{'SEC', 'Danny Crichton', 'The We Company'};04/05/2019 12:02
04/05/2019 11:00;techcrunch;2019-05-04T10:58:56;Uber;;;;04/05/2019 11:00
04/05/2019 07:01;techcrunch;2019-05-04T07:00:14;Android;;;;04/05/2019 07:01
04/05/2019 04:29;techcrunch;2019-05-04T04:28:12;Srinivasan;;;;04/05/2019 04:29
04/05/2019 03:54;techcrunch;2019-05-04T03:53:38;Mozilla;;;;04/05/2019 03:54
02/05/2019 23:20;techcrunch;;;;;;02/05/2019 23:20
02/05/2019 23:16;techcrunch;;;;;;02/05/2019 23:16
02/05/2019 22:04;techcrunch;2019-05-02T22:02:38;Activision Blizzard;;;;02/05/2019 22:04
02/05/2019 21:08;techcrunch;;;;;;02/05/2019 21:08
02/05/2019 21:06;techcrunch;2019-05-02T21:05:57;Microsoft;;;;02/05/2019 21:06
02/05/2019 21:04;techcrunch;2019-05-02T21:00:46;Microsoft;;;;02/05/2019 21:04
02/05/2019 21:04;techcrunch;2019-05-02T21:00:43;Microsoft;;;;02/05/2019 21:04
02/05/2019 21:04;techcrunch;2019-05-02T21:00:34;Microsoft;;;;02/05/2019 21:04
02/05/2019 21:04;techcrunch;2019-05-02T21:00:34;Microsoft;public;;{'Azure DevOps', 'Visual Studio Code', 'Azure Blockchain Service'};02/05/2019 21:04
02/05/2019 21:03;techcrunch;2019-05-02T21:00:21;Microsoft;;;;02/05/2019 21:03
02/05/2019 21:02;techcrunch;2019-05-02T21:00:02;SQL;series d;;{'Database Edge'};02/05/2019 21:02
02/05/2019 20:26;techcrunch;2019-05-02T20:23:56;Alexa;public;;{'Verge'};02/05/2019 20:26
02/05/2019 20:23;techcrunch;2019-05-02T20:21:04;Tumblr;;;;02/05/2019 20:23
02/05/2019 20:22;techcrunch;2019-05-02T20:21:01;Burke;;;;02/05/2019 20:22
02/05/2019 20:00;techcrunch;2019-05-02T20:00:04;Google;public;;;02/05/2019 20:00
02/05/2019 19:57;techcrunch;;;;;;02/05/2019 19:57
02/05/2019 19:43;techcrunch;;Extra Crunch;public;;;02/05/2019 19:43
02/05/2019 19:15;techcrunch;2019-05-02T18:17:39;Facebook;series o;;{'Frederic', 'Josh'};02/05/2019 19:15
02/05/2019 18:52;techcrunch;2019-05-02T18:50:20;Facebook;;;;02/05/2019 18:52
02/05/2019 18:51;techcrunch;;;;;;02/05/2019 18:51
02/05/2019 18:13;techcrunch;;;;;;02/05/2019 18:13
