date;user;edited_data
06/05/2019 16:51;techcrunch;{'series': 'public', 'date_scraped': '2019-05-06T16:50:36', 'company_name': 'Apple'}
06/05/2019 16:44;techcrunch;
06/05/2019 15:41;techcrunch;{'series': 'public', 'investors': set(), 'date_scraped': '2019-05-06T15:39:42', 'company_name': 'ElectionGuard'}
06/05/2019 15:35;techcrunch;
06/05/2019 15:35;techcrunch;
06/05/2019 15:34;techcrunch;{'date_scraped': '2019-05-06T15:30:54', 'company_name': 'Microsoft'}
06/05/2019 15:34;techcrunch;
06/05/2019 15:33;techcrunch;
06/05/2019 15:33;techcrunch;{'series': 'public', 'investors': {'Azure Functions', 'Azure Kubernetes Service', 'Red Hat', 'OpenShift'}, 'date_scraped': '2019-05-06T15:30:22', 'company_name': 'Microsoft'}
06/05/2019 15:33;techcrunch;
06/05/2019 15:32;techcrunch;{'date_scraped': '2019-05-06T15:30:02', 'company_name': 'Microsoft'}
06/05/2019 15:32;techcrunch;
06/05/2019 15:31;techcrunch;
06/05/2019 15:31;techcrunch;{'date_scraped': '2019-05-06T15:30:27', 'company_name': 'Microsoft'}
06/05/2019 15:31;techcrunch;{'date_scraped': '2019-05-06T15:30:14', 'company_name': 'Microsoft'}
06/05/2019 15:30;techcrunch;
06/05/2019 15:16;techcrunch;{'date_scraped': '2019-05-06T14:30:18', 'company_name': 'Microsoft'}
06/05/2019 15:02;techcrunch;{'series': 'series e', 'raised_funds': '300000000.0 $', 'investors': {'Andreessen Horowitz', 'TechCrunch', 'Marc Andreessen'}, 'date_scraped': '2019-05-06T15:00:30', 'company_name': 'Carta'}
06/05/2019 14:31;techcrunch;{'date_scraped': '2019-05-06T14:30:18', 'company_name': 'Microsoft'}
06/05/2019 14:00;techcrunch;{'date_scraped': ''}
06/05/2019 13:01;techcrunch;{'date_scraped': '2019-05-06T13:00:02', 'company_name': 'Dropbox'}
06/05/2019 12:44;techcrunch;{'series': 'public', 'date_scraped': '', 'company_name': 'Extra Crunch'}
06/05/2019 11:59;techcrunch;{'series': 'series f', 'raised_funds': '1000000000.0 $', 'investors': {'CDC Group', 'TechCrunch', 'Alibaba', 'Vipul Parekh', 'Mirae Asset-Naver Asia Growth Fund'}, 'date_scraped': '2019-05-06T11:57:07', 'company_name': 'BigBasket'}
06/05/2019 11:01;techcrunch;
06/05/2019 10:02;techcrunch;{'date_scraped': '2019-05-06T10:00:28', 'company_name': 'NBCUniversal'}
06/05/2019 08:28;techcrunch;
06/05/2019 08:01;techcrunch;{'series': 'series a', 'investors': set(), 'date_scraped': '2019-05-06T08:00:33', 'company_name': 'Startup Alley'}
06/05/2019 07:34;techcrunch;{'series': 'series o', 'investors': {'Android', 'Facebook', 'Google'}, 'date_scraped': '2019-05-06T07:32:33', 'company_name': 'Apple'}
06/05/2019 04:13;techcrunch;
06/05/2019 02:05;techcrunch;
06/05/2019 00:44;techcrunch;{'series': 'public', 'date_scraped': '', 'company_name': 'Extra Crunch'}
04/05/2019 16:47;techcrunch;
04/05/2019 16:25;techcrunch;
04/05/2019 16:02;techcrunch;{'date_scraped': '2019-05-04T16:00:39', 'company_name': 'Apple'}
04/05/2019 14:08;techcrunch;
04/05/2019 12:17;techcrunch;{'date_scraped': '2019-05-04T12:16:46', 'company_name': 'Jones'}
04/05/2019 12:02;techcrunch;{'series': 'public', 'investors': {'SEC', 'Danny Crichton', 'The We Company'}, 'date_scraped': '2019-05-04T12:00:48', 'company_name': 'TechCrunch'}
04/05/2019 11:00;techcrunch;{'date_scraped': '2019-05-04T10:58:56', 'company_name': 'Uber'}
04/05/2019 07:01;techcrunch;{'date_scraped': '2019-05-04T07:00:14', 'company_name': 'Android'}
04/05/2019 04:29;techcrunch;{'date_scraped': '2019-05-04T04:28:12', 'company_name': 'Srinivasan'}
04/05/2019 03:54;techcrunch;{'date_scraped': '2019-05-04T03:53:38', 'company_name': 'Mozilla'}
02/05/2019 23:20;techcrunch;
02/05/2019 23:16;techcrunch;
02/05/2019 22:04;techcrunch;{'date_scraped': '2019-05-02T22:02:38', 'company_name': 'Activision Blizzard'}
02/05/2019 21:08;techcrunch;
02/05/2019 21:06;techcrunch;{'date_scraped': '2019-05-02T21:05:57', 'company_name': 'Microsoft'}
02/05/2019 21:04;techcrunch;{'date_scraped': '2019-05-02T21:00:46', 'company_name': 'Microsoft'}
02/05/2019 21:04;techcrunch;{'date_scraped': '2019-05-02T21:00:43', 'company_name': 'Microsoft'}
02/05/2019 21:04;techcrunch;{'date_scraped': '2019-05-02T21:00:34', 'company_name': 'Microsoft'}
02/05/2019 21:04;techcrunch;{'series': 'public', 'investors': {'Azure DevOps', 'Visual Studio Code', 'Azure Blockchain Service'}, 'date_scraped': '2019-05-02T21:00:34', 'company_name': 'Microsoft'}
02/05/2019 21:03;techcrunch;{'date_scraped': '2019-05-02T21:00:21', 'company_name': 'Microsoft'}
02/05/2019 21:02;techcrunch;{'series': 'series d', 'investors': {'Database Edge'}, 'date_scraped': '2019-05-02T21:00:02', 'company_name': 'SQL'}
02/05/2019 20:26;techcrunch;{'series': 'public', 'investors': {'Verge'}, 'date_scraped': '2019-05-02T20:23:56', 'company_name': 'Alexa'}
02/05/2019 20:23;techcrunch;{'date_scraped': '2019-05-02T20:21:04', 'company_name': 'Tumblr'}
02/05/2019 20:22;techcrunch;{'date_scraped': '2019-05-02T20:21:01', 'company_name': 'Burke'}
02/05/2019 20:00;techcrunch;{'series': 'public', 'date_scraped': '2019-05-02T20:00:04', 'company_name': 'Google'}
02/05/2019 19:57;techcrunch;
02/05/2019 19:43;techcrunch;{'series': 'public', 'date_scraped': '', 'company_name': 'Extra Crunch'}
